id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,rac,img,dyn,decision,feature
20260206_130141_764497,30.09375,-0.0061,0.0191,0.12,6.9,30.0375,30.0375,30.31875,30.20625,0.001869159,0.001869159,-0.007476636,-0.003738318,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130141_764497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130141_764497.jpg,0.9,0.956521,nan,0.956521,nan
20260206_130141_764497,30.09375,-0.005050000000000001,0.019174999999999998,0.16499999999999998,7.1000000000000005,30.051562500000003,30.0375,30.31875,30.2203125,0.0014018692500000001,0.001869159,-0.007476636,-0.00420560775,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130141_764497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130141_764497.jpg,0.9,0.956521,nan,0.956521,nan
20260206_130141_764497,30.09375,-0.004,0.01925,0.21,7.300000000000001,30.065625,30.0375,30.31875,30.234375,0.0009345795000000001,0.001869159,-0.007476636,-0.0046728975,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130141_764497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130141_764497.jpg,0.9,0.956521,nan,0.956521,nan
20260206_130141_764497,30.09375,-0.00295,0.019325000000000002,0.255,7.5,30.079687500000002,30.0375,30.31875,30.2484375,0.0004672897499999999,0.001869159,-0.007476636,-0.00514018725,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130141_764497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130141_764497.jpg,0.9,0.956521,0.825863,0.940321,0.904082
20260206_130142_014497,30.09375,-0.0019,0.0194,0.3,7.7,30.09375,30.0375,30.31875,30.2625,0.0,0.001869159,-0.007476636,-0.005607477,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_014497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_014497.jpg,0.9,0.934551,0.822189,0.924010,0.912477
20260206_130142_014497,30.09375,-0.001725,0.01905,0.29,7.875,30.065625,30.0375,30.290625000000002,30.234375,0.0009345794999999997,0.001869159,-0.006542056500000001,-0.0046728975,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_014497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_014497.jpg,0.9,0.934551,0.818603,0.914050,0.912599
20260206_130142_014497,30.09375,-0.0015499999999999997,0.018699999999999998,0.27999999999999997,8.05,30.037499999999998,30.0375,30.2625,30.206249999999997,0.0018691590000000004,0.001869159,-0.005607477,-0.003738317999999999,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_014497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_014497.jpg,0.9,0.934551,0.815983,0.908391,0.912700
20260206_130142_014497,30.09375,-0.001375,0.018349999999999998,0.27,8.225,30.009375,30.0375,30.234375,30.178124999999998,0.0028037385000000002,0.001869159,-0.0046728975,-0.0028037384999999994,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_014497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_014497.jpg,0.9,0.934551,0.815064,0.905610,0.912788
20260206_130142_264497,30.09375,-0.0012,0.018,0.26,8.4,29.98125,30.0375,30.20625,30.15,0.003738318,0.001869159,-0.003738318,-0.001869159,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_264497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_264497.jpg,0.9,1.000000,0.816154,0.924361,0.918463
20260206_130142_264497,30.0515625,-0.0033,0.012399999999999998,0.29000000000000004,8.4,29.9390625,29.9953125,30.1359375,30.0796875,0.003743588,0.001871794,-0.0028037385,-0.0009319445,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_264497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_264497.jpg,0.9,1.000000,0.825664,0.938443,0.918493
20260206_130142_264497,30.009375,-0.005399999999999999,0.006799999999999999,0.32,8.4,29.896875,29.953125,30.065625,30.009375,0.003748858,0.001874429,-0.001869159,5.2699999999999275e-06,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_264497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_264497.jpg,0.9,1.000000,0.838740,0.949162,0.918302
20260206_130142_264497,29.9671875,-0.007500000000000002,0.0011999999999999927,0.35000000000000003,8.4,29.8546875,29.9109375,29.9953125,29.9390625,0.0037541280000000002,0.0018770640000000001,-0.0009345794999999989,0.000942484500000001,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_264497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_264497.jpg,0.9,1.000000,0.850560,0.957440,0.917740
20260206_130142_514497,29.925,-0.009599999999999997,-0.0044000000000000055,0.38,8.4,29.8125,29.86875,29.925,29.86875,0.003759398,0.0018796990000000012,-3.154042582664828e-18,0.001879698999999998,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_514497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_514497.jpg,0.9,0.950936,0.858890,0.949580,0.904324
20260206_130142_514497,29.86875,-0.00895,-0.006550000000000001,0.3825,8.35,29.756249999999998,29.7984375,29.9109375,29.840625,0.0037665182500000003,0.0023567440000000005,-0.0014204545000000009,0.0009362894999999996,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_514497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_514497.jpg,0.9,0.950936,0.861315,0.944642,0.903527
20260206_130142_514497,29.8125,-0.008299999999999998,-0.008700000000000003,0.385,8.299999999999999,29.7,29.728125,29.896874999999998,29.8125,0.0037736385000000003,0.0028337890000000006,-0.0028409090000000017,-7.120000000000867e-06,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_514497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_514497.jpg,0.9,0.950936,0.861271,0.941550,0.902916
20260206_130142_514497,29.75625,-0.0076500000000000005,-0.010849999999999999,0.3875,8.25,29.64375,29.6578125,29.8828125,29.784375,0.00378075875,0.0033108339999999995,-0.0042613634999999995,-0.0009505294999999994,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_514497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_514497.jpg,0.9,0.950936,0.860506,0.939690,0.902582
20260206_130142_764497,29.7,-0.007,-0.013,0.39,8.2,29.5875,29.5875,29.86875,29.75625,0.003787879,0.003787879,-0.005681818,-0.001893939,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_764497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_764497.jpg,0.9,0.994663,0.859373,0.951528,0.895392
20260206_130142_764497,29.671875,-0.005524999999999999,0.002075000000000016,0.385,8.149999999999999,29.5875,29.6015625,29.86875,29.770312500000003,0.002840909249999999,0.0023656239999999985,-0.0066377892500000014,-0.003321595000000002,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_764497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_764497.jpg,0.9,0.994663,0.859624,0.960280,0.895776
20260206_130142_764497,29.643749999999997,-0.00405,0.01715,0.38,8.1,29.5875,29.615625,29.86875,29.784375,0.0018939395,0.0009433689999999999,-0.0075937605,-0.004749251,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_764497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_764497.jpg,0.9,0.994663,0.857936,0.966825,0.896703
20260206_130142_764497,29.615624999999998,-0.0025749999999999983,0.03222500000000002,0.375,8.049999999999999,29.5875,29.6296875,29.86875,29.798437500000002,0.0009469697499999989,-0.00047888600000000215,-0.008549731750000001,-0.0061769070000000014,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130142_764497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130142_764497.jpg,0.9,0.994663,0.842102,0.971784,0.897696
20260206_130143_014497,29.5875,-0.0011,0.0473,0.37,8.0,29.5875,29.64375,29.86875,29.8125,0.0,-0.001901141,-0.009505703,-0.007604563,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_014497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_014497.jpg,0.9,0.886119,0.786950,0.943042,0.906264
20260206_130143_014497,29.5875,-0.002125000000000001,0.042475,0.3575,7.174999999999999,29.5875,29.615625,29.854687499999997,29.784375,0.0,-0.000950570499999999,-0.009030418,-0.006653992499999999,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_014497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_014497.jpg,0.9,0.886119,0.720787,0.923204,0.904707
20260206_130143_014497,29.5875,-0.0031500000000000018,0.03764999999999999,0.345,6.349999999999998,29.5875,29.5875,29.840625,29.756249999999998,0.0,2.168404344971009e-18,-0.008555133,-0.005703421999999998,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_014497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_014497.jpg,0.9,0.886119,0.679999,0.909593,0.903178
20260206_130143_014497,29.5875,-0.0041750000000000025,0.032824999999999986,0.33249999999999996,5.524999999999997,29.5875,29.559375,29.826562499999998,29.728125,0.0,0.0009505705000000034,-0.008079847999999999,-0.004752851499999997,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_014497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_014497.jpg,0.9,0.886119,0.692368,0.900314,0.903302
20260206_130143_264497,29.5875,-0.005199999999999996,0.027999999999999983,0.32,4.699999999999999,29.5875,29.53125,29.8125,29.7,2.1106905112588954e-18,0.001901141,-0.007604562999999994,-0.0038022809999999933,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_264497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_264497.jpg,0.9,0.978992,0.750471,0.921905,0.921139
20260206_130143_264497,29.5875,-0.004424999999999999,0.023799999999999995,0.325,4.525,29.573437499999997,29.53125,29.7703125,29.6578125,0.00047528525000000056,0.001901141,-0.006178707499999998,-0.0023764254999999986,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_264497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_264497.jpg,0.9,0.978992,0.793181,0.937219,0.921230
20260206_130143_264497,29.5875,-0.003649999999999998,0.01959999999999999,0.33,4.35,29.559375,29.53125,29.728125,29.615624999999998,0.0009505705000000011,0.001901141,-0.004752851999999997,-0.0009505699999999969,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_264497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_264497.jpg,0.9,0.978992,0.820662,0.948121,0.921210
20260206_130143_264497,29.5875,-0.0028749999999999973,0.015399999999999985,0.335,4.175,29.545312499999998,29.53125,29.6859375,29.5734375,0.0014258557500000017,0.001901141,-0.003326996499999995,0.00047528550000000514,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_264497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_264497.jpg,0.9,0.978992,0.837492,0.955915,0.921171
20260206_130143_514497,29.5875,-0.0021000000000000046,0.011200000000000012,0.33999999999999914,3.9999999999999996,29.53125,29.53125,29.64375,29.53125,0.0019011410000000126,0.001901141000000017,-0.0019011409999999875,0.0019011410000000107,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_514497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_514497.jpg,0.9,0.915427,0.847342,0.942478,0.901135
20260206_130143_514497,29.5875,-0.0031750000000000046,0.013975000000000012,0.1349999999999991,3.8749999999999996,29.446875,29.41875,29.559375,29.4609375,0.004752852000000012,0.005703422250000017,0.0009505700000000128,0.00427756675000001,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_514497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_514497.jpg,0.9,0.915427,0.853457,0.932882,0.901204
20260206_130143_514497,29.5875,-0.00425,0.01675,-0.07000000000000006,3.75,29.3625,29.30625,29.475,29.390625,0.007604563,0.009505703499999999,0.0038022810000000002,0.0066539925,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_514497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_514497.jpg,0.9,0.915427,0.856884,0.925949,0.901169
20260206_130143_514497,29.5875,-0.005325,0.019525,-0.2750000000000001,3.625,29.278125000000003,29.19375,29.390625,29.3203125,0.010456274,0.013307984749999998,0.006653992000000001,0.009030418249999998,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_514497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_514497.jpg,0.9,0.915427,0.857229,0.920837,0.900963
20260206_130143_764497,29.5875,-0.0064,0.0223,-0.48,3.5,29.19375,29.08125,29.30625,29.25,0.013307985,0.017110266,0.009505703,0.011406844,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_764497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_764497.jpg,0.9,0.885588,0.852566,0.908866,0.912921
20260206_130143_764497,29.545312499999998,-0.0060999999999999995,0.015774999999999994,-0.46749999999999997,3.475,29.1515625,29.0671875,29.292187499999997,29.2078125,0.013327069,0.016178779749999997,0.00856331175,0.01142320175,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_764497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_764497.jpg,0.9,0.885588,0.849881,0.900110,0.912013
20260206_130143_764497,29.503124999999997,-0.0058,0.009249999999999986,-0.45499999999999996,3.4499999999999997,29.109375,29.053124999999998,29.278125,29.165625,0.013346153,0.015247293499999997,0.007620920499999998,0.0114395595,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_764497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_764497.jpg,0.9,0.885588,0.850851,0.893793,0.911436
20260206_130143_764497,29.4609375,-0.0055000000000000005,0.0027250000000000087,-0.4425,3.425,29.0671875,29.0390625,29.2640625,29.1234375,0.013365236999999999,0.01431580725,0.006678529250000001,0.01145591725,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130143_764497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130143_764497.jpg,0.9,0.885588,0.855058,0.889400,0.911211
20260206_130144_014497,29.41875,-0.0052,-0.0038,-0.43,3.4,29.025,29.025,29.25,29.08125,0.013384321,0.013384321,0.005736138,0.011472275,train/episode_101__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_130144_014497.jpg,train/episode_101__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_130144_014497.jpg,0.9,0.982000,0.861249,0.911484,0.909487
