id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,rac
20260205_115249_639458,20.7,-0.0036,0.017,-0.62,1.2,20.7,20.75625,20.925,20.75625,0,-0.002717391,-0.010869565,-0.002717391,train/episode_103_part1/images/ZED_LEFT/ZED_LEFT_20260205_115249_639458.jpg,train/episode_103_part1/images/road_img/ZED_LEFT_20260205_115249_639458.jpg,0.8
20260205_115249_889458,20.86875,-0.0163,0.021,-0.68,1.2,20.925,20.98125,21.09375,20.925,-0.002695418,-0.005390836,-0.010781671,-0.002695418,train/episode_103_part1/images/ZED_LEFT/ZED_LEFT_20260205_115249_889458.jpg,train/episode_103_part1/images/road_img/ZED_LEFT_20260205_115249_889458.jpg,0.8
20260205_115250_139458,21.09375,-0.0072,0,-0.66,1.1,21.15,21.15,21.31875,21.2625,-0.002666667,-0.002666667,-0.010666667,-0.008,train/episode_103_part1/images/ZED_LEFT/ZED_LEFT_20260205_115250_139458.jpg,train/episode_103_part1/images/road_img/ZED_LEFT_20260205_115250_139458.jpg,0.8
20260205_115250_389458,21.20625,-0.0158,0.0084,-0.84,1,21.31875,21.2625,21.54375,21.31875,-0.00530504,-0.00265252,-0.015915119,-0.00530504,train/episode_103_part1/images/ZED_LEFT/ZED_LEFT_20260205_115250_389458.jpg,train/episode_103_part1/images/road_img/ZED_LEFT_20260205_115250_389458.jpg,0.8
20260205_115250_639458,21.54375,-0.0069,0.0201,-0.6,0.4,21.6,21.54375,21.7125,21.54375,-0.002610966,0,-0.007832898,0,train/episode_103_part1/images/ZED_LEFT/ZED_LEFT_20260205_115250_639458.jpg,train/episode_103_part1/images/road_img/ZED_LEFT_20260205_115250_639458.jpg,0.8
20260205_115250_889458,21.7125,-0.0096,0.0267,-1.03,-0.5,21.88125,21.7125,21.9375,21.76875,-0.007772021,0,-0.010362694,-0.002590674,train/episode_103_part1/images/ZED_LEFT/ZED_LEFT_20260205_115250_889458.jpg,train/episode_103_part1/images/road_img/ZED_LEFT_20260205_115250_889458.jpg,0.8
20260205_115251_139458,21.88125,0.0059,0.0173,-0.75,-0.5,21.9375,21.9375,22.1625,21.99375,-0.002570694,-0.002570694,-0.01285347,-0.005141388,train/episode_103_part1/images/ZED_LEFT/ZED_LEFT_20260205_115251_139458.jpg,train/episode_103_part1/images/road_img/ZED_LEFT_20260205_115251_139458.jpg,0.8
20260205_115251_389458,22.10625,-0.0236,0.0163,-0.81,-0.4,22.10625,22.10625,22.33125,22.10625,0,0,-0.010178117,0,train/episode_103_part1/images/ZED_LEFT/ZED_LEFT_20260205_115251_389458.jpg,train/episode_103_part1/images/road_img/ZED_LEFT_20260205_115251_389458.jpg,0.8
20260205_115251_639458,22.275,0.0029,-0.001,-0.65,0.1,22.275,22.275,22.44375,22.33125,0,0,-0.007575758,-0.002525253,train/episode_103_part1/images/ZED_LEFT/ZED_LEFT_20260205_115251_639458.jpg,train/episode_103_part1/images/road_img/ZED_LEFT_20260205_115251_639458.jpg,0.8
20260205_115251_889458,22.33125,0.0076,0.0093,-0.82,0.6,22.3875,22.33125,22.6125,22.44375,-0.002518892,0,-0.012594458,-0.005037783,train/episode_103_part1/images/ZED_LEFT/ZED_LEFT_20260205_115251_889458.jpg,train/episode_103_part1/images/road_img/ZED_LEFT_20260205_115251_889458.jpg,0.8
