id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,rac
20251122_133912_277493,16.425,0.0748,-0.0683,-10.29,-84.9,16.93125,15.8625,16.93125,15.80625,-0.030821918,0.034246575,-0.030821918,0.037671233,train/episode_13_part2__dup2/images/ZED_LEFT/ZED_LEFT_20251122_133912_277493.jpg,train/episode_13_part2__dup2/images/road_img/ZED_LEFT_20251122_133912_277493.jpg,0.55
20251122_133912_527493,16.03125,0.1245,-0.0504,-9.86,-84.2,16.48125,15.525,16.59375,15.525,-0.028070175,0.031578947,-0.035087719,0.031578947,train/episode_13_part2__dup2/images/ZED_LEFT/ZED_LEFT_20251122_133912_527493.jpg,train/episode_13_part2__dup2/images/road_img/ZED_LEFT_20251122_133912_527493.jpg,0.55
20251122_133912_777493,15.91875,0.0736,-0.0165,-9.48,-85.3,16.425,15.3,16.425,15.3,-0.03180212,0.038869258,-0.03180212,0.038869258,train/episode_13_part2__dup2/images/ZED_LEFT/ZED_LEFT_20251122_133912_777493.jpg,train/episode_13_part2__dup2/images/road_img/ZED_LEFT_20251122_133912_777493.jpg,0.55
20251122_133913_027493,15.8625,0.1314,0.0147,-9.55,-86.1,16.36875,15.4125,16.59375,15.525,-0.031914894,0.028368794,-0.046099291,0.021276596,train/episode_13_part2__dup2/images/ZED_LEFT/ZED_LEFT_20251122_133913_027493.jpg,train/episode_13_part2__dup2/images/road_img/ZED_LEFT_20251122_133913_027493.jpg,0.55
20251122_133913_277493,16.03125,0.0877,0.0259,-10.02,-85.4,16.7625,15.69375,16.81875,15.58125,-0.045614035,0.021052632,-0.049122807,0.028070175,train/episode_13_part2__dup2/images/ZED_LEFT/ZED_LEFT_20251122_133913_277493.jpg,train/episode_13_part2__dup2/images/road_img/ZED_LEFT_20251122_133913_277493.jpg,0.55
20251122_133913_527493,16.3125,0.0971,0.0317,-9.77,-85.6,17.1,16.03125,17.15625,16.03125,-0.048275862,0.017241379,-0.051724138,0.017241379,train/episode_13_part2__dup2/images/ZED_LEFT/ZED_LEFT_20251122_133913_527493.jpg,train/episode_13_part2__dup2/images/road_img/ZED_LEFT_20251122_133913_527493.jpg,0.55
20251122_133913_777493,16.59375,0.151,0.0699,-10.08,-87.2,17.26875,16.3125,17.49375,16.36875,-0.040677966,0.016949153,-0.054237288,0.013559322,train/episode_13_part2__dup2/images/ZED_LEFT/ZED_LEFT_20251122_133913_777493.jpg,train/episode_13_part2__dup2/images/road_img/ZED_LEFT_20251122_133913_777493.jpg,0.55
20251122_133914_027493,17.04375,0.065,0.0695,-10.58,-94.5,17.94375,16.70625,17.8875,16.70625,-0.052805281,0.01980198,-0.04950495,0.01980198,train/episode_13_part2__dup2/images/ZED_LEFT/ZED_LEFT_20251122_133914_027493.jpg,train/episode_13_part2__dup2/images/road_img/ZED_LEFT_20251122_133914_027493.jpg,0.55
20251122_133914_277493,17.4375,0.1595,0.0737,-11.95,-104.9,18.50625,17.15625,18.5625,17.1,-0.061290323,0.016129032,-0.064516129,0.019354839,train/episode_13_part2__dup2/images/ZED_LEFT/ZED_LEFT_20251122_133914_277493.jpg,train/episode_13_part2__dup2/images/road_img/ZED_LEFT_20251122_133914_277493.jpg,0.55
20251122_133914_527493,17.94375,0.0728,0.0806,-13.74,-108.7,18.7875,17.49375,18.7875,17.4375,-0.047021944,0.02507837,-0.047021944,0.028213166,train/episode_13_part2__dup2/images/ZED_LEFT/ZED_LEFT_20251122_133914_527493.jpg,train/episode_13_part2__dup2/images/road_img/ZED_LEFT_20251122_133914_527493.jpg,0.55
