id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,rac,img,dyn,decision,feature
20251122_134459_700648,29.7,0.0761,0.0234,0.03,13.2,29.64375,29.7,30.20625,30.20625,0.001893939,0.0,-0.017045455,-0.017045455,train/episode_156_part1/images/ZED_LEFT/ZED_LEFT_20251122_134459_700648.jpg,train/episode_156_part1/images/road_img/ZED_LEFT_20251122_134459_700648.jpg,0.6,0.587873,nan,0.587873,nan
20251122_134459_700648,29.86875,0.046225,0.02555,-0.1225,11.825,29.8546875,29.86875,30.2765625,30.2484375,0.00049452825,0.0,-0.013710017250000001,-0.01278409125,train/episode_156_part1/images/ZED_LEFT/ZED_LEFT_20251122_134459_700648.jpg,train/episode_156_part1/images/road_img/ZED_LEFT_20251122_134459_700648.jpg,0.6,0.587873,nan,0.587873,nan
20251122_134459_700648,30.0375,0.016350000000000003,0.027700000000000002,-0.275,10.45,30.065625,30.0375,30.346875,30.290625,-0.0009048825,0.0,-0.010374579500000002,-0.0085227275,train/episode_156_part1/images/ZED_LEFT/ZED_LEFT_20251122_134459_700648.jpg,train/episode_156_part1/images/road_img/ZED_LEFT_20251122_134459_700648.jpg,0.6,0.587873,nan,0.587873,nan
20251122_134459_700648,30.20625,-0.013524999999999995,0.02985,-0.4275,9.075,30.2765625,30.20625,30.4171875,30.3328125,-0.0023042932500000005,0.0,-0.00703914175,-0.0042613637499999985,train/episode_156_part1/images/ZED_LEFT/ZED_LEFT_20251122_134459_700648.jpg,train/episode_156_part1/images/road_img/ZED_LEFT_20251122_134459_700648.jpg,0.6,0.587873,0.515617,0.575807,0.586449
20251122_134459_950648,30.375,-0.0434,0.032,-0.58,7.7,30.4875,30.375,30.4875,30.375,-0.003703704,0.0,-0.003703704,0.0,train/episode_156_part1/images/ZED_LEFT/ZED_LEFT_20251122_134459_950648.jpg,train/episode_156_part1/images/road_img/ZED_LEFT_20251122_134459_950648.jpg,0.6,0.578509,0.525630,0.568222,0.567158
20251122_134459_950648,30.360937500000002,-0.057075,0.04015,-0.25500000000000006,8.075,30.4453125,30.3328125,30.459375,30.403125,-0.0027777780000000003,0.0009276437499999996,-0.0032416000000000003,-0.0013914657499999995,train/episode_156_part1/images/ZED_LEFT/ZED_LEFT_20251122_134459_950648.jpg,train/episode_156_part1/images/road_img/ZED_LEFT_20251122_134459_950648.jpg,0.6,0.578509,0.521608,0.562735,0.557062
20251122_134459_950648,30.346875,-0.07075000000000001,0.04830000000000001,0.07000000000000017,8.45,30.403125,30.290625,30.43125,30.431250000000002,-0.0018518519999999993,0.0018552875000000003,-0.002779496,-0.002782931500000001,train/episode_156_part1/images/ZED_LEFT/ZED_LEFT_20251122_134459_950648.jpg,train/episode_156_part1/images/road_img/ZED_LEFT_20251122_134459_950648.jpg,0.6,0.578509,0.507558,0.557476,0.548143
20251122_134459_950648,30.3328125,-0.084425,0.05645,0.395,8.825,30.360937500000002,30.2484375,30.403125,30.459375,-0.0009259259999999997,0.00278293125,-0.0023173919999999997,-0.0041743972500000006,train/episode_156_part1/images/ZED_LEFT/ZED_LEFT_20251122_134459_950648.jpg,train/episode_156_part1/images/road_img/ZED_LEFT_20251122_134459_950648.jpg,0.6,0.578509,0.517927,0.555678,0.550126
20251122_134500_200648,30.31875,-0.0981,0.0646,0.72,9.2,30.31875,30.20625,30.375,30.4875,0.0,0.003710575,-0.001855288,-0.005565863,train/episode_156_part1/images/ZED_LEFT/ZED_LEFT_20251122_134500_200648.jpg,train/episode_156_part1/images/road_img/ZED_LEFT_20251122_134500_200648.jpg,0.6,0.547855,0.547934,0.553342,0.563016
20251122_134500_200648,30.2484375,-0.097375,0.057425000000000004,0.665,8.975,30.234375,30.1921875,30.43125,30.459375,0.00046816475,0.00184660175,-0.006073114,-0.006983386,train/episode_156_part1/images/ZED_LEFT/ZED_LEFT_20251122_134500_200648.jpg,train/episode_156_part1/images/road_img/ZED_LEFT_20251122_134500_200648.jpg,0.6,0.547855,0.561359,0.553589,0.568138
