id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,rac
20251122_112610_234344,41.7375,-0.0654,-0.0001,0.02,3,41.9625,41.625,42.24375,41.625,-0.005390836,0.002695418,-0.01212938,0.002695418,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112610_234344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112610_234344.jpg,0.6
20251122_112610_484344,41.79375,0.0069,0.1024,-0.95,4.2,41.9625,42.075,42.35625,42.35625,-0.004037685,-0.006729475,-0.01345895,-0.01345895,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112610_484344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112610_484344.jpg,0.6
20251122_112610_734344,42.13125,0.0452,0.0326,-0.4,4.6,42.58125,42.525,42.58125,42.58125,-0.010680908,-0.009345794,-0.010680908,-0.010680908,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112610_734344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112610_734344.jpg,0.6
20251122_112610_984344,42.525,0.0195,0.0478,-0.36,5.8,42.1875,42.4125,42.8625,42.69375,0.007936508,0.002645503,-0.007936508,-0.003968254,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112610_984344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112610_984344.jpg,0.6
20251122_112611_234344,42.525,0.043,0.0358,0.53,7.9,42.6375,42.4125,42.80625,42.80625,-0.002645503,0.002645503,-0.006613757,-0.006613757,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112611_234344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112611_234344.jpg,0.6
20251122_112611_484344,42.46875,-0.026,-0.0009,0.67,5.4,42.35625,42.46875,42.80625,42.525,0.002649007,0,-0.00794702,-0.001324503,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112611_484344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112611_484344.jpg,0.6
20251122_112611_734344,42.4125,0.0257,-0.035,-0.26,5.5,42.01875,42.075,42.46875,42.24375,0.00928382,0.00795756,-0.00132626,0.00397878,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112611_734344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112611_734344.jpg,0.6
20251122_112611_984344,42.24375,-0.0166,0.0052,0.27,6.2,41.9625,41.90625,42.24375,42.01875,0.00665779,0.007989348,0,0.005326232,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112611_984344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112611_984344.jpg,0.6
20251122_112612_234344,42.01875,0.0015,-0.0065,-0.08,7.1,42.1875,42.1875,42.46875,42.46875,-0.004016064,-0.004016064,-0.010709505,-0.010709505,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112612_234344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112612_234344.jpg,0.6
20251122_112612_484344,41.9625,0.0421,0.008,-0.06,8.8,42.3,42.3,42.6375,42.69375,-0.008042895,-0.008042895,-0.016085791,-0.017426273,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112612_484344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112612_484344.jpg,0.6
20251122_112612_734344,42.13125,0.0485,0.0457,0.18,9.1,42.46875,42.58125,42.75,42.69375,-0.008010681,-0.010680908,-0.014686248,-0.013351135,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112612_734344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112612_734344.jpg,0.6
20251122_112612_984344,42.1875,0.0396,0.0253,0.44,9.5,42.6375,42.75,43.03125,42.91875,-0.010666667,-0.013333333,-0.02,-0.017333333,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112612_984344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112612_984344.jpg,0.6
20251122_112613_234344,42.46875,0.04,-0.0006,0.71,10.2,42.75,42.975,43.2,43.2,-0.006622517,-0.01192053,-0.017218543,-0.017218543,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112613_234344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112613_234344.jpg,0.6
20251122_112613_484344,42.46875,0.0292,0.0532,0.96,10.3,43.0875,43.03125,43.3125,43.425,-0.014569536,-0.013245033,-0.01986755,-0.022516556,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112613_484344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112613_484344.jpg,0.6
20251122_112613_734344,42.75,-0.0571,0.0319,1.38,10.7,43.14375,43.425,43.5375,42.58125,-0.009210526,-0.015789474,-0.018421053,0.003947368,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112613_734344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112613_734344.jpg,0.6
20251122_112613_984344,42.8625,-0.0633,0.0255,0.89,10.7,42.975,43.25625,43.3125,43.5375,-0.002624672,-0.009186352,-0.010498688,-0.015748031,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112613_984344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112613_984344.jpg,0.6
20251122_112614_234344,42.975,0.0136,0.0361,1.15,9,43.875,43.59375,43.7625,43.59375,-0.020942408,-0.014397906,-0.018324607,-0.014397906,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112614_234344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112614_234344.jpg,0.6
20251122_112614_484344,43.03125,-0.1422,0.0495,1.93,8.8,43.65,43.425,43.48125,43.81875,-0.014379085,-0.009150327,-0.010457516,-0.018300654,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112614_484344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112614_484344.jpg,0.6
20251122_112614_734344,43.0875,-0.0801,0.0613,0.57,8.9,43.875,43.875,44.04375,43.93125,-0.018276762,-0.018276762,-0.022193211,-0.019582245,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112614_734344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112614_734344.jpg,0.6
20251122_112614_984344,43.14375,-0.0524,0.0403,1.47,7.7,43.7625,43.70625,43.93125,43.9875,-0.014341591,-0.01303781,-0.018252934,-0.019556714,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112614_984344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112614_984344.jpg,0.6
20251122_112615_234344,43.65,-0.0262,0.0002,1.22,6.5,43.9875,44.15625,44.15625,45.3375,-0.007731959,-0.011597938,-0.011597938,-0.038659794,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112615_234344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112615_234344.jpg,0.6
20251122_112615_484344,43.5375,0.0028,0.0345,-0.03,5.4,44.1,44.04375,44.4375,44.325,-0.012919897,-0.011627907,-0.020671835,-0.018087855,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112615_484344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112615_484344.jpg,0.6
20251122_112615_734344,43.70625,0.0472,-0.0002,1.02,5.1,44.26875,44.325,44.60625,44.4375,-0.012870013,-0.014157014,-0.020592021,-0.016731017,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112615_734344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112615_734344.jpg,0.6
20251122_112615_984344,43.93125,0.0063,0.0818,0.03,5.6,44.26875,44.26875,44.60625,44.325,-0.007682458,-0.007682458,-0.015364917,-0.008962868,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112615_984344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112615_984344.jpg,0.6
20251122_112616_234344,43.48125,-0.0819,0.0725,1.38,5,44.38125,44.325,44.6625,44.55,-0.020698577,-0.019404916,-0.027166882,-0.02457956,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112616_234344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112616_234344.jpg,0.6
20251122_112616_484344,44.1,-0.2117,0.0967,0,4.5,44.15625,44.15625,44.325,44.2125,-0.00127551,-0.00127551,-0.005102041,-0.00255102,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112616_484344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112616_484344.jpg,0.6
20251122_112616_734344,44.04375,0.0237,0.0595,-0.5,3.8,43.425,43.3125,43.70625,43.48125,0.014048531,0.01660281,0.007662835,0.012771392,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112616_734344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112616_734344.jpg,0.6
20251122_112616_984344,44.15625,0.0257,0.003,0.29,3.8,43.03125,42.80625,43.2,43.0875,0.025477707,0.030573248,0.021656051,0.024203822,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112616_984344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112616_984344.jpg,0.6
20251122_112617_234344,44.26875,0.0389,0.0169,-0.27,3.3,42.80625,42.69375,42.80625,42.6375,0.033036849,0.035578145,0.033036849,0.036848793,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112617_234344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112617_234344.jpg,0.6
20251122_112617_484344,44.325,0.013,0.0227,-0.32,-2.7,42.24375,42.13125,42.69375,42.24375,0.046954315,0.049492386,0.03680203,0.046954315,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112617_484344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112617_484344.jpg,0.6
20251122_112617_734344,44.325,0.0334,-0.0148,0.02,-6.3,42.13125,41.7375,42.1875,41.79375,0.049492386,0.058375635,0.04822335,0.057106599,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112617_734344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112617_734344.jpg,0.6
20251122_112617_984344,44.15625,0.0204,-0.048,-0.3,-6.8,41.7375,41.34375,41.90625,41.4,0.05477707,0.063694268,0.050955414,0.062420382,train/episode_158/images/ZED_LEFT/ZED_LEFT_20251122_112617_984344.jpg,train/episode_158/images/road_img/ZED_LEFT_20251122_112617_984344.jpg,0.6
