id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,,rac
20260322_152622_001899,33.69375,-0.0334,0.0057,2.29,22.2,33.58125,33.8625,33.58125,33.91875,0.003338898,-0.005008347,0.003338898,-0.006677796,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152622_001899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152622_001899.jpg,,0.3
20260322_152622_251899,33.58125,-0.0683,-0.0071,2.85,22.8,33.4125,33.69375,33.46875,33.58125,0.005025126,-0.003350084,0.003350084,0,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152622_251899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152622_251899.jpg,,0.3
20260322_152622_501899,33.24375,-0.0551,-0.0083,3.03,22.7,33.13125,33.46875,33.075,33.3,0.003384095,-0.00676819,0.005076142,-0.001692047,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152622_501899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152622_501899.jpg,,0.3
20260322_152622_751899,33.01875,-0.0772,-0.0518,2.74,22.1,32.85,33.075,33.24375,33.3,0.005110733,-0.001703578,-0.00681431,-0.008517888,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152622_751899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152622_751899.jpg,,0.3
20260322_152623_001899,32.85,-0.0289,0.0037,2.15,22,32.5125,33.24375,33.24375,33.1875,0.010273973,-0.011986301,-0.011986301,-0.010273973,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152623_001899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152623_001899.jpg,,0.3
20260322_152623_251899,32.625,-0.0385,-0.0155,2.03,20.9,32.79375,33.075,32.625,33.075,-0.005172414,-0.013793103,0,-0.013793103,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152623_251899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152623_251899.jpg,,0.3
20260322_152623_501899,32.34375,-0.0196,-0.0034,2.7,23.3,32.2875,32.68125,32.4,32.56875,0.00173913,-0.010434783,-0.00173913,-0.006956522,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152623_501899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152623_501899.jpg,,0.3
20260322_152623_751899,32.23125,-0.0855,-0.0633,3.18,23.7,32.23125,32.4,32.23125,32.56875,0,-0.005235602,0,-0.010471204,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152623_751899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152623_751899.jpg,,0.3
20260322_152624_001899,32.175,-0.0897,0.0123,3.59,24.9,32.00625,32.4,32.2875,32.45625,0.005244755,-0.006993007,-0.003496503,-0.008741259,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152624_001899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152624_001899.jpg,,0.3
20260322_152624_251899,31.95,-0.1267,0.0358,3.9,26.9,31.95,32.34375,32.00625,32.34375,0,-0.012323944,-0.001760563,-0.012323944,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152624_251899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152624_251899.jpg,,0.3
