id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,rac
20251120_181733_767884,30.54375,-0.0309,-0.0676,1.15,13,30.375,30.6,30.6,30.6,0.005524862,-0.001841621,-0.001841621,-0.001841621,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181733_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181733_767884.jpg,0.8
20251120_181734_017884,30.15,-0.0348,-0.0524,0.84,11.1,30.09375,30.15,30.2625,30.20625,0.001865672,0,-0.003731343,-0.001865672,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181734_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181734_017884.jpg,0.8
20251120_181734_267884,29.75625,-0.007,-0.0168,0.38,7.5,29.8125,29.75625,29.925,29.925,-0.001890359,0,-0.005671078,-0.005671078,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181734_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181734_267884.jpg,0.8
20251120_181734_517884,30.09375,-0.0143,0.0611,0.32,7.4,29.75625,29.86875,30.15,30.09375,0.011214953,0.007476636,-0.001869159,0,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181734_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181734_517884.jpg,0.8
20251120_181734_767884,31.21875,-0.0017,0.196,0.42,7.4,30.65625,30.65625,31.1625,31.10625,0.018018018,0.018018018,0.001801802,0.003603604,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181734_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181734_767884.jpg,0.8
20251120_181735_017884,32.4,0.0023,0.1673,0.33,7.4,32.45625,32.5125,32.90625,32.79375,-0.001736111,-0.003472222,-0.015625,-0.012152778,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181735_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181735_017884.jpg,0.8
20251120_181735_267884,33.91875,0.0026,0.1733,0.41,7.4,33.975,33.975,34.425,34.425,-0.001658375,-0.001658375,-0.014925373,-0.014925373,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181735_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181735_267884.jpg,0.8
20251120_181735_517884,34.9875,-0.0049,0.1026,0.29,7.4,34.36875,34.425,34.93125,34.875,0.017684887,0.01607717,0.001607717,0.003215434,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181735_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181735_517884.jpg,0.8
20251120_181735_767884,36.16875,-0.0106,0.0837,0.36,7.4,35.83125,35.8875,36.225,36.225,0.00933126,0.00777605,-0.00155521,-0.00155521,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181735_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181735_767884.jpg,0.8
20251120_181736_017884,36.3375,0.0153,-0.0204,0.34,7.8,36.3375,36.45,36.61875,36.5625,0,-0.003095975,-0.007739938,-0.00619195,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181736_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181736_017884.jpg,0.8
20251120_181736_267884,36.225,-0.0154,-0.0435,0.4,9.4,36.3375,36.39375,36.5625,36.45,-0.00310559,-0.004658385,-0.00931677,-0.00621118,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181736_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181736_267884.jpg,0.8
20251120_181736_517884,35.83125,0.0047,-0.0632,1,10.5,35.94375,36,36,36.1125,-0.003139717,-0.004709576,-0.004709576,-0.007849294,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181736_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181736_517884.jpg,0.8
20251120_181736_767884,35.49375,-0.0463,-0.0527,1,12.8,35.4375,35.55,35.60625,35.60625,0.001584786,-0.001584786,-0.003169572,-0.003169572,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181736_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181736_767884.jpg,0.8
20251120_181737_017884,34.9875,-0.0268,-0.0041,1.7,14.4,34.875,35.04375,35.2125,35.2125,0.003215434,-0.001607717,-0.006430868,-0.006430868,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181737_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181737_017884.jpg,0.8
20251120_181737_267884,34.70625,-0.0638,-0.0633,1.99,15.7,34.65,34.93125,34.7625,34.81875,0.001620746,-0.006482982,-0.001620746,-0.003241491,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181737_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181737_267884.jpg,0.8
20251120_181737_517884,34.65,-0.0436,-0.0579,2.1,19.1,34.3125,34.59375,34.2,34.48125,0.00974026,0.001623377,0.012987013,0.00487013,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181737_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181737_517884.jpg,0.8
20251120_181737_767884,34.3125,-0.0573,-0.0385,2.9,24,33.975,34.36875,34.2,34.48125,0.009836066,-0.001639344,0.003278689,-0.004918033,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181737_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181737_767884.jpg,0.8
20251120_181738_017884,34.03125,-0.1005,-0.038,3.8,29.2,33.58125,34.0875,33.80625,34.14375,0.01322314,-0.001652893,0.00661157,-0.003305785,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181738_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181738_017884.jpg,0.8
20251120_181738_267884,33.6375,-0.104,-0.0523,4.6,34.5,33.13125,33.75,33.1875,33.75,0.015050167,-0.003344482,0.013377926,-0.003344482,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181738_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181738_267884.jpg,0.8
20251120_181738_517884,33.13125,-0.1456,-0.0558,5.87,40.7,32.0625,32.79375,32.34375,32.85,0.032258065,0.010186757,0.0237691,0.008488964,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181738_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181738_517884.jpg,0.8
20251120_181738_767884,32.45625,-0.1231,-0.0669,6.31,47.6,31.44375,32.4,31.55625,32.0625,0.031195841,0.001733102,0.027729636,0.012131716,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181738_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181738_767884.jpg,0.8
20251120_181739_017884,31.95,-0.1462,-0.0795,7.66,51.9,30.825,31.725,30.9375,31.8375,0.035211268,0.007042254,0.031690141,0.003521127,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181739_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181739_017884.jpg,0.8
20251120_181739_267884,31.33125,-0.166,-0.083,8.74,57.4,30.0375,31.10625,30.15,30.88125,0.041292639,0.007181329,0.037701975,0.014362657,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181739_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181739_267884.jpg,0.8
20251120_181739_517884,30.54375,-0.1428,-0.0797,9.03,64.4,29.19375,30.31875,29.25,30.31875,0.044198895,0.007366483,0.042357274,0.007366483,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181739_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181739_517884.jpg,0.8
20251120_181739_767884,29.8125,-0.1302,-0.0793,10.37,73.1,28.35,29.5875,28.35,29.53125,0.049056604,0.00754717,0.049056604,0.009433962,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181739_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181739_767884.jpg,0.8
20251120_181740_017884,29.025,-0.2126,-0.0733,11.51,75.2,27.675,28.9125,27.73125,28.9125,0.046511628,0.003875969,0.044573643,0.003875969,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181740_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181740_017884.jpg,0.8
20251120_181740_267884,28.35,-0.1699,-0.0731,12.35,76.6,27.05625,28.35,27.1125,28.35,0.045634921,0,0.043650794,0,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181740_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181740_267884.jpg,0.8
20251120_181740_517884,27.73125,-0.219,-0.0947,12.28,78.3,26.49375,27.84375,26.6625,27.7875,0.044624746,-0.004056795,0.038539554,-0.002028398,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181740_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181740_517884.jpg,0.8
20251120_181740_767884,27.225,-0.2014,-0.0262,12.37,84.8,25.93125,27.3375,26.1,27.28125,0.047520661,-0.004132231,0.041322314,-0.002066116,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181740_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181740_767884.jpg,0.8
20251120_181741_017884,26.6625,-0.1555,-0.0403,13.02,93.7,25.36875,26.83125,25.425,26.83125,0.048523207,-0.006329114,0.046413502,-0.006329114,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181741_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181741_017884.jpg,0.8
20251120_181741_267884,26.15625,-0.224,-0.0403,14.58,93.8,25.0875,26.49375,25.0875,26.55,0.040860215,-0.012903226,0.040860215,-0.015053763,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181741_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181741_267884.jpg,0.8
20251120_181741_517884,25.81875,-0.202,-0.0272,14.87,93.7,24.8625,26.38125,25.0875,26.4375,0.037037037,-0.021786492,0.02832244,-0.023965142,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181741_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181741_517884.jpg,0.8
20251120_181741_767884,25.65,-0.1942,0.0021,14.59,93.8,24.8625,26.55,25.2,26.55,0.030701754,-0.035087719,0.01754386,-0.035087719,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181741_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181741_767884.jpg,0.8
20251120_181742_017884,25.65,-0.1806,0.041,14.65,96.3,25.36875,26.94375,25.59375,27.05625,0.010964912,-0.050438596,0.002192982,-0.054824561,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181742_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181742_017884.jpg,0.8
20251120_181742_267884,26.1,-0.2077,0.066,14.78,105.6,25.875,27.61875,26.15625,27.675,0.00862069,-0.058189655,-0.002155172,-0.060344828,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181742_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181742_267884.jpg,0.8
20251120_181742_517884,26.6625,-0.227,0.0562,16.62,107.1,26.38125,28.29375,26.55,28.29375,0.010548523,-0.061181435,0.004219409,-0.061181435,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181742_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181742_517884.jpg,0.8
20251120_181742_767884,27.28125,-0.241,0.0521,17.68,108,26.83125,28.6875,27.1125,28.74375,0.016494845,-0.051546392,0.006185567,-0.053608247,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181742_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181742_767884.jpg,0.8
20251120_181743_017884,27.73125,-0.2647,0.0434,18.31,107.8,27.1125,29.1375,27.45,29.19375,0.022312373,-0.050709939,0.010141988,-0.052738337,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181743_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181743_017884.jpg,0.8
20251120_181743_267884,28.06875,-0.3003,0.0636,18.49,102.9,27.5625,29.53125,27.84375,29.475,0.018036072,-0.052104208,0.008016032,-0.0501002,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181743_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181743_267884.jpg,0.8
20251120_181743_517884,28.4625,-0.2428,0.0683,18.79,92.6,28.125,29.7,28.35,29.925,0.011857708,-0.043478261,0.003952569,-0.051383399,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181743_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181743_517884.jpg,0.8
20251120_181743_767884,28.85625,-0.2598,0.049,16.02,74.9,28.6875,30.15,29.025,30.2625,0.005847953,-0.044834308,-0.005847953,-0.048732943,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181743_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181743_767884.jpg,0.8
20251120_181744_017884,29.41875,-0.2075,0.0827,13.84,56.8,29.5875,30.6,30.0375,30.825,-0.005736138,-0.040152964,-0.021032505,-0.047801147,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181744_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181744_017884.jpg,0.8
20251120_181744_267884,29.75625,-0.1814,0.0837,11.14,50,30.2625,31.1625,30.7125,31.44375,-0.017013233,-0.047258979,-0.032136106,-0.056710775,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181744_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181744_267884.jpg,0.8
20251120_181744_517884,30.65625,-0.148,0.1165,8.96,33.2,31.275,31.89375,31.55625,32.11875,-0.020183486,-0.040366972,-0.029357798,-0.047706422,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181744_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181744_517884.jpg,0.8
20251120_181744_767884,31.5,-0.1475,0.12,6.99,21.4,32.23125,32.5125,32.68125,32.85,-0.023214286,-0.032142857,-0.0375,-0.042857143,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181744_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181744_767884.jpg,0.8
20251120_181745_017884,32.2875,-0.0522,0.0987,3.43,18.4,33.13125,33.35625,33.58125,33.69375,-0.026132404,-0.033101045,-0.040069686,-0.043554007,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181745_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181745_017884.jpg,0.8
20251120_181745_267884,33.1875,-0.052,0.1152,2.67,12.8,33.975,34.2,34.48125,34.5375,-0.023728814,-0.030508475,-0.038983051,-0.040677966,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181745_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181745_267884.jpg,0.8
20251120_181745_517884,34.03125,-0.0381,0.1144,1.6,8.8,34.7625,34.70625,35.04375,35.1,-0.021487603,-0.019834711,-0.029752066,-0.031404959,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181745_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181745_517884.jpg,0.8
20251120_181745_767884,34.65,-0.0156,0.0885,1,6.7,35.38125,35.4375,35.775,35.60625,-0.021103896,-0.022727273,-0.032467532,-0.027597403,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181745_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181745_767884.jpg,0.8
20251120_181746_017884,35.04375,-0.0131,0.0627,0.2,8.1,35.8875,36,36.225,36.225,-0.024077047,-0.027287319,-0.033707865,-0.033707865,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181746_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181746_017884.jpg,0.8
20251120_181746_267884,35.55,-0.0289,0.0719,0.24,9.9,36.3375,36.3375,36.675,36.61875,-0.022151899,-0.022151899,-0.03164557,-0.030063291,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181746_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181746_267884.jpg,0.8
20251120_181746_517884,36.1125,-0.0143,0.0899,0.62,9.6,36.9,37.0125,37.18125,37.2375,-0.021806854,-0.024922118,-0.029595016,-0.031152648,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181746_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181746_517884.jpg,0.8
20251120_181746_767884,36.675,-0.0191,0.0586,0.79,8.2,37.4625,37.51875,37.85625,37.8,-0.021472393,-0.023006135,-0.032208589,-0.030674847,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181746_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181746_767884.jpg,0.8
20251120_181747_017884,37.125,-0.0231,0.0632,0.78,7.9,37.9125,37.96875,38.30625,38.19375,-0.021212121,-0.022727273,-0.031818182,-0.028787879,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181747_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181747_017884.jpg,0.8
20251120_181747_267884,37.63125,-0.0175,0.0735,0.47,8.1,38.25,38.30625,38.7,38.475,-0.016442451,-0.01793722,-0.028400598,-0.022421525,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181747_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181747_267884.jpg,0.8
20251120_181747_517884,38.08125,-0.0222,0.073,0.51,9.4,38.7,38.75625,38.98125,38.98125,-0.016248154,-0.017725258,-0.023633678,-0.023633678,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181747_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181747_517884.jpg,0.8
20251120_181747_767884,38.41875,-0.0272,0.0472,0.46,9.3,38.98125,39.09375,39.375,39.2625,-0.014641288,-0.017569546,-0.02489019,-0.021961933,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181747_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181747_767884.jpg,0.8
20251120_181748_017884,38.64375,-0.0263,0.04,0.99,8.9,39.20625,39.20625,39.6,39.6,-0.014556041,-0.014556041,-0.024745269,-0.024745269,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181748_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181748_017884.jpg,0.8
20251120_181748_267884,39.0375,-0.0369,0.0649,0.6,8.7,39.9375,40.05,40.3875,40.44375,-0.023054755,-0.025936599,-0.034582133,-0.036023055,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181748_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181748_267884.jpg,0.8
20251120_181748_517884,39.2625,-0.0346,0.0864,0.77,8.2,40.33125,40.3875,40.725,40.6125,-0.02722063,-0.028653295,-0.037249284,-0.034383954,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181748_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181748_517884.jpg,0.8
20251120_181748_767884,39.99375,-0.0232,0.0748,0.63,7.5,40.8375,40.95,41.2875,41.23125,-0.021097046,-0.023909986,-0.032348805,-0.030942335,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181748_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181748_767884.jpg,0.8
20251120_181749_017884,40.55625,-0.0283,0.0776,0.59,7.4,41.5125,41.625,41.9625,41.85,-0.023578363,-0.026352288,-0.034674064,-0.031900139,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181749_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181749_017884.jpg,0.8
20251120_181749_267884,41.175,-0.0239,0.0695,0.18,7.5,42.01875,42.075,42.525,42.35625,-0.020491803,-0.021857923,-0.032786885,-0.028688525,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181749_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181749_267884.jpg,0.8
20251120_181749_517884,41.79375,-0.0088,0.0792,0.31,6.9,42.58125,42.58125,42.91875,42.975,-0.01884253,-0.01884253,-0.0269179,-0.028263795,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181749_517884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181749_517884.jpg,0.8
20251120_181749_767884,42.24375,0.0052,0.0635,0.2,5.4,43.3125,43.3125,43.65,43.65,-0.025299601,-0.025299601,-0.033288948,-0.033288948,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181749_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181749_767884.jpg,0.8
20251120_181750_017884,42.69375,-0.0254,0.0877,0.4,5.4,43.70625,43.70625,44.15625,44.04375,-0.023715415,-0.023715415,-0.034255599,-0.031620553,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181750_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181750_017884.jpg,0.8
