id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,rac,img,dyn,decision,feature
20251120_181733_767884,30.54375,-0.0309,-0.0676,1.15,13.0,30.375,30.6,30.6,30.6,0.005524862,-0.001841621,-0.001841621,-0.001841621,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181733_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181733_767884.jpg,0.8,0.815155,nan,0.815155,nan
20251120_181733_767884,30.4453125,-0.031875,-0.0638,1.0725,12.525,30.3046875,30.4875,30.515625,30.501562500000002,0.0046100645,-0.0013812157500000001,-0.0023140515,-0.00184763375,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181733_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181733_767884.jpg,0.8,0.815155,nan,0.815155,nan
20251120_181733_767884,30.346875,-0.03285,-0.06,0.995,12.05,30.234375,30.375,30.431250000000002,30.403125000000003,0.0036952670000000003,-0.0009208105000000003,-0.002786482,-0.0018536465,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181733_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181733_767884.jpg,0.8,0.815155,nan,0.815155,nan
20251120_181733_767884,30.248437499999998,-0.033825,-0.0562,0.9175,11.575,30.1640625,30.2625,30.346875,30.3046875,0.0027804695000000004,-0.0004604052500000002,-0.0032589125,-0.0018596592500000001,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181733_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181733_767884.jpg,0.8,0.815155,0.766336,0.806797,0.797870
20251120_181733_767884,30.15,-0.0348,-0.0524,0.8400000000000001,11.1,30.09375,30.15,30.2625,30.20625,0.001865672000000001,-4.336808689942018e-19,-0.003731343,-0.001865672,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181733_767884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181733_767884.jpg,0.8,0.815155,0.768703,0.801699,0.796281
20251120_181734_017884,30.0515625,-0.027850000000000003,-0.04350000000000001,0.7250000000000001,10.200000000000001,30.0234375,30.0515625,30.178125,30.1359375,0.0009266642500000008,0.0,-0.004216276749999999,-0.0028170234999999994,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181734_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181734_017884.jpg,0.8,0.815328,0.779286,0.800061,0.804075
20251120_181734_017884,29.953125,-0.020900000000000002,-0.034600000000000006,0.6100000000000001,9.3,29.953125,29.953125,30.09375,30.065625,-1.2343499999999466e-05,0.0,-0.0047012105,-0.0037683749999999996,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181734_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181734_017884.jpg,0.8,0.815328,0.796609,0.801691,0.809532
20251120_181734_017884,29.8546875,-0.013950000000000004,-0.025700000000000004,0.49500000000000005,8.4,29.8828125,29.8546875,30.009375000000002,29.9953125,-0.0009513512499999995,0.0,-0.00518614425,-0.004719726499999999,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181734_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181734_017884.jpg,0.8,0.815328,0.815027,0.805734,0.814160
20251120_181734_017884,29.75625,-0.007000000000000006,-0.01680000000000001,0.3800000000000001,7.500000000000002,29.8125,29.75625,29.925,29.925,-0.001890358999999999,0.0,-0.0056710779999999995,-0.0056710779999999995,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181734_017884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181734_017884.jpg,0.8,0.815328,0.832524,0.811342,0.818159
20251120_181734_267884,29.840625,-0.008824999999999998,0.0026749999999999795,0.36500000000000005,7.4750000000000005,29.798437500000002,29.784375,29.98125,29.9671875,0.0013859689999999962,0.001869158999999998,-0.004720598250000001,-0.004253308500000002,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181734_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181734_267884.jpg,0.8,0.861796,0.846045,0.823989,0.824811
20251120_181734_267884,29.925,-0.010649999999999998,0.02214999999999998,0.35000000000000003,7.45,29.784375,29.8125,30.037499999999998,30.009375,0.004662296999999996,0.003738317999999998,-0.003770118500000001,-0.002835539000000002,train/episode_28__dup2/images/ZED_LEFT/ZED_LEFT_20251120_181734_267884.jpg,train/episode_28__dup2/images/road_img/ZED_LEFT_20251120_181734_267884.jpg,0.8,0.861796,0.849391,0.833371,0.825768
