id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,rac
20260206_124518_633108,25.25625,-0.0234,0.0219,0.61,7.6,25.2,25.25625,25.36875,25.3125,0.002227171,0,-0.004454343,-0.002227171,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124518_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124518_633108.jpg,0.8
20260206_124518_883108,25.0875,0.0419,0.0285,0.1,6.9,25.03125,24.91875,25.14375,25.0875,0.002242152,0.006726457,-0.002242152,0,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124518_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124518_883108.jpg,0.8
20260206_124519_133108,24.8625,0.001,-0.0013,0,6.6,24.69375,24.525,24.75,24.80625,0.00678733,0.013574661,0.004524887,0.002262443,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124519_133108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124519_133108.jpg,0.8
20260206_124519_383108,24.46875,0.0144,0.0196,0.27,5.9,24.13125,24.13125,24.24375,24.24375,0.013793103,0.013793103,0.009195402,0.009195402,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124519_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124519_383108.jpg,0.8
20260206_124519_633108,24.1875,0.0447,-0.0283,-0.09,5.3,23.9625,23.90625,23.9625,23.90625,0.009302326,0.011627907,0.009302326,0.011627907,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124519_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124519_633108.jpg,0.8
20260206_124519_883108,23.90625,-0.002,-0.032,-0.04,6,23.11875,23.175,23.34375,23.175,0.032941176,0.030588235,0.023529412,0.030588235,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124519_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124519_883108.jpg,0.8
20260206_124520_133108,23.4,0.0105,-0.0205,0.04,6.2,22.78125,22.725,22.78125,22.725,0.026442308,0.028846154,0.026442308,0.028846154,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124520_133108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124520_133108.jpg,0.8
20260206_124520_383108,22.89375,-0.0273,-0.0099,-0.07,6.2,21.9375,21.9375,22.05,22.05,0.041769042,0.041769042,0.036855037,0.036855037,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124520_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124520_383108.jpg,0.8
20260206_124520_633108,22.3875,0.0084,-0.0096,0,6.2,21.7125,21.76875,21.9375,21.88125,0.030150754,0.027638191,0.020100503,0.022613065,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124520_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124520_633108.jpg,0.8
20260206_124520_883108,21.99375,-0.0117,-0.0084,-0.08,6.2,21.65625,21.6,21.7125,21.7125,0.015345269,0.017902813,0.012787724,0.012787724,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124520_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124520_883108.jpg,0.8
20260206_124521_133108,21.825,-0.0154,-0.0028,0.07,4.7,21.375,21.31875,21.54375,21.43125,0.020618557,0.023195876,0.012886598,0.018041237,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124521_133108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124521_133108.jpg,0.8
20260206_124521_383108,21.7125,-0.0221,0.0336,-0.04,3.5,21.31875,21.2625,21.375,21.31875,0.018134715,0.020725389,0.015544041,0.018134715,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124521_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124521_383108.jpg,0.8
20260206_124521_633108,21.54375,-0.0065,0.0213,0.02,2.8,20.925,20.925,21.20625,21.0375,0.028720627,0.028720627,0.015665796,0.023498695,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124521_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124521_633108.jpg,0.8
20260206_124521_883108,21.375,-0.0198,0.0219,-0.18,0.9,20.86875,20.86875,21.09375,20.925,0.023684211,0.023684211,0.013157895,0.021052632,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124521_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124521_883108.jpg,0.8
20260206_124522_133108,21.20625,-0.0092,0.0261,-0.34,-7.1,20.8125,20.7,20.925,20.86875,0.018567639,0.023872679,0.013262599,0.015915119,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124522_133108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124522_133108.jpg,0.8
20260206_124522_383108,21.15,-0.0012,0.0233,-0.11,-22.6,20.86875,20.53125,20.98125,20.5875,0.013297872,0.029255319,0.007978723,0.026595745,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124522_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124522_383108.jpg,0.8
20260206_124522_633108,20.925,-0.0008,0.0266,-0.5,-35.8,20.86875,20.41875,21.09375,20.475,0.002688172,0.024193548,-0.008064516,0.021505376,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124522_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124522_633108.jpg,0.8
20260206_124522_883108,20.8125,-0.0322,0.0147,-0.83,-56.8,21.15,20.30625,21.31875,20.41875,-0.016216216,0.024324324,-0.024324324,0.018918919,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124522_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124522_883108.jpg,0.8
20260206_124523_133108,20.7,0.0032,0.0431,-2.16,-81.1,21.54375,20.25,21.54375,20.30625,-0.04076087,0.02173913,-0.04076087,0.019021739,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124523_133108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124523_133108.jpg,0.8
20260206_124523_383108,20.64375,-0.0116,0.0519,-3.49,-99.4,21.9375,20.41875,21.88125,20.3625,-0.0626703,0.010899183,-0.059945504,0.013623978,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124523_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124523_383108.jpg,0.8
20260206_124523_633108,20.64375,-0.0164,0.0516,-4.62,-109.5,22.33125,20.5875,22.33125,20.475,-0.081743869,0.002724796,-0.081743869,0.008174387,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124523_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124523_633108.jpg,0.8
20260206_124523_883108,20.75625,0.0146,0.0241,-7.23,-110.8,22.78125,20.98125,22.66875,20.8125,-0.097560976,-0.010840108,-0.092140921,-0.002710027,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124523_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124523_883108.jpg,0.8
20260206_124524_133108,20.8125,0.086,0.0273,-10.9,-108.8,23.23125,21.4875,23.2875,21.31875,-0.116216216,-0.032432432,-0.118918919,-0.024324324,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124524_133108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124524_133108.jpg,0.8
20260206_124524_383108,21.0375,0.0794,0.0403,-13.32,-106.9,23.79375,21.99375,23.79375,21.9375,-0.131016043,-0.045454545,-0.131016043,-0.042780749,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124524_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124524_383108.jpg,0.8
20260206_124524_633108,21.20625,0.1041,0.0206,-15.04,-105.8,24.13125,22.44375,24.35625,22.275,-0.137931034,-0.058355438,-0.148541114,-0.050397878,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124524_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124524_633108.jpg,0.8
20260206_124524_883108,21.375,0.1075,0.0248,-16.16,-101.1,24.69375,22.78125,24.6375,22.6125,-0.155263158,-0.065789474,-0.152631579,-0.057894737,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124524_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124524_883108.jpg,0.8
20260206_124525_133108,21.65625,0.103,0.0606,-17.39,-93.3,24.80625,23.23125,24.975,23.11875,-0.145454545,-0.072727273,-0.153246753,-0.067532468,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124525_133108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124525_133108.jpg,0.8
20260206_124525_383108,21.99375,0.1683,-0.0016,-16.49,-88.8,25.25625,23.68125,25.48125,23.85,-0.148337596,-0.076726343,-0.158567775,-0.084398977,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124525_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124525_383108.jpg,0.8
20260206_124525_633108,22.44375,0.1462,0.017,-17.77,-82.4,25.93125,24.4125,25.9875,24.4125,-0.155388471,-0.087719298,-0.157894737,-0.087719298,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124525_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124525_633108.jpg,0.8
20260206_124525_883108,22.8375,0.131,0.0394,-17.61,-82.4,26.71875,25.14375,26.775,25.14375,-0.169950739,-0.100985222,-0.172413793,-0.100985222,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124525_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124525_883108.jpg,0.8
20260206_124526_133108,23.2875,0.2475,0.0095,-16.99,-82.4,27.05625,25.5375,27.1125,25.70625,-0.161835749,-0.096618357,-0.164251208,-0.103864734,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124526_133108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124526_133108.jpg,0.8
20260206_124526_383108,23.68125,0.0847,0.0503,-17.91,-82.3,27.95625,26.4375,27.95625,26.26875,-0.180522565,-0.116389549,-0.180522565,-0.109263658,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124526_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124526_383108.jpg,0.8
20260206_124526_633108,23.9625,0.1838,0.0026,-16.01,-72.3,28.6875,27.05625,28.8,27.1125,-0.197183099,-0.129107981,-0.201877934,-0.131455399,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124526_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124526_633108.jpg,0.8
20260206_124526_883108,24.4125,0.1935,0.0011,-16.09,-63.3,29.19375,27.84375,29.30625,27.84375,-0.195852535,-0.140552995,-0.200460829,-0.140552995,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124526_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124526_883108.jpg,0.8
20260206_124527_133108,25.03125,0.1269,-0.0029,-15.21,-59.8,29.3625,28.0125,29.475,28.125,-0.173033708,-0.119101124,-0.17752809,-0.123595506,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124527_133108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124527_133108.jpg,0.8
20260206_124527_383108,25.425,0.1636,0.0065,-14.75,-23.3,30.0375,29.30625,30.2625,29.475,-0.181415929,-0.152654867,-0.190265487,-0.159292035,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124527_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124527_383108.jpg,0.8
20260206_124527_633108,25.875,0.1176,0.0094,-15.1,-15.7,30.31875,29.86875,30.4875,30.09375,-0.17173913,-0.154347826,-0.17826087,-0.163043478,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124527_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124527_633108.jpg,0.8
20260206_124527_883108,26.71875,0.1665,0.0087,-15.46,-7.1,30.54375,30.6,30.65625,30.31875,-0.143157895,-0.145263158,-0.147368421,-0.134736842,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124527_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124527_883108.jpg,0.8
20260206_124528_133108,27.1125,0.1857,0.0091,-15.61,-6.6,30.76875,30.6,30.9375,30.54375,-0.134854772,-0.128630705,-0.141078838,-0.126556017,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124528_133108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124528_133108.jpg,0.8
20260206_124528_383108,27.50625,0.198,0.0123,-15.69,-8.6,30.99375,30.76875,31.21875,30.825,-0.126789366,-0.118609407,-0.134969325,-0.120654397,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124528_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124528_383108.jpg,0.8
20260206_124528_633108,28.0125,0.1808,-0.0062,-14.2,-10.8,31.21875,30.9375,31.44375,30.99375,-0.114457831,-0.104417671,-0.12248996,-0.106425703,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124528_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124528_633108.jpg,0.8
20260206_124528_883108,28.6875,0.1778,-0.0197,-12.93,-10.6,31.5,31.1625,31.66875,31.275,-0.098039216,-0.08627451,-0.103921569,-0.090196078,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124528_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124528_883108.jpg,0.8
20260206_124529_133108,29.3625,0.1474,-0.0012,-9.14,-7.6,31.10625,30.99375,31.10625,30.65625,-0.059386973,-0.055555556,-0.059386973,-0.044061303,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124529_133108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124529_133108.jpg,0.8
20260206_124529_383108,29.8125,0.0805,0.0018,-5.85,-5.6,30.43125,30.20625,30.2625,30.09375,-0.020754717,-0.013207547,-0.01509434,-0.009433962,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124529_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124529_383108.jpg,0.8
20260206_124529_633108,30.31875,0.0569,-0.0081,-4.14,-6.2,29.64375,29.475,29.7,29.475,0.022263451,0.027829314,0.020408163,0.027829314,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124529_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124529_633108.jpg,0.8
20260206_124529_883108,30.4875,0.0623,-0.054,-2.62,-7.8,29.53125,29.19375,29.64375,29.30625,0.031365314,0.042435424,0.027675277,0.038745387,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124529_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124529_883108.jpg,0.8
20260206_124530_133108,30.6,0.0117,-0.064,-2.63,-8,29.475,29.25,29.7,29.475,0.036764706,0.044117647,0.029411765,0.036764706,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124530_133108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124530_133108.jpg,0.8
20260206_124530_383108,30.825,0.0673,-0.0545,-2.36,-9.1,29.3625,29.025,29.41875,29.08125,0.047445255,0.058394161,0.045620438,0.056569343,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124530_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124530_383108.jpg,0.8
20260206_124530_633108,31.05,0.0196,-0.0458,-3.32,-10.2,29.08125,28.85625,29.1375,28.9125,0.063405797,0.070652174,0.061594203,0.06884058,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124530_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124530_633108.jpg,0.8
20260206_124530_883108,31.21875,0.062,-0.0232,-3.26,-10.1,28.8,28.63125,28.9125,28.575,0.077477477,0.082882883,0.073873874,0.084684685,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124530_883108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124530_883108.jpg,0.8
20260206_124531_133108,31.33125,0.0262,-0.0988,-3.48,-9.9,28.63125,28.35,28.575,28.35,0.086175943,0.095152603,0.087971275,0.095152603,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124531_133108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124531_133108.jpg,0.8
20260206_124531_383108,30.7125,0.0181,-0.1929,-2.77,-11,28.29375,28.0125,28.35,27.95625,0.078754579,0.087912088,0.076923077,0.08974359,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124531_383108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124531_383108.jpg,0.8
20260206_124531_633108,29.86875,-0.016,-0.1653,-2.03,-16.2,28.0125,27.5625,27.95625,27.5625,0.062146893,0.077212806,0.064030132,0.077212806,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/ZED_LEFT/ZED_LEFT_20260206_124531_633108.jpg,train/episode_36__pi05_annotations_in_yuanqv_clean__dup2/images/road_img/ZED_LEFT_20260206_124531_633108.jpg,0.8
