id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,rac
20260206_124535_230998,23.56875,-0.0313,-0.0395,7.37,57.2,23.23125,24.01875,23.45625,24.01875,0.014319809,-0.019093079,0.00477327,-0.019093079,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124535_230998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124535_230998.jpg,0.8
20260206_124535_480998,23.7375,-0.1447,-0.0326,8.2,44.9,23.56875,24.24375,23.625,24.4125,0.007109005,-0.021327014,0.004739336,-0.028436019,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124535_480998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124535_480998.jpg,0.8
20260206_124535_730998,24.01875,-0.0349,-0.0236,5.24,16.3,24.075,24.35625,24.3,24.4125,-0.00234192,-0.014051522,-0.011709602,-0.016393443,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124535_730998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124535_730998.jpg,0.8
20260206_124535_980998,24.46875,-0.0464,-0.0528,0.5,-9.3,24.525,24.3,24.58125,24.35625,-0.002298851,0.006896552,-0.004597701,0.004597701,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124535_980998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124535_980998.jpg,0.8
20260206_124536_230998,24.525,0.0279,-0.0418,-2.87,-22.9,25.03125,24.525,24.91875,24.69375,-0.020642202,0,-0.016055046,-0.006880734,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124536_230998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124536_230998.jpg,0.8
20260206_124536_480998,24.75,0.0362,-0.0181,-3.78,-32.1,25.25625,24.75,25.5375,24.525,-0.020454545,0,-0.031818182,0.009090909,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124536_480998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124536_480998.jpg,0.8
20260206_124536_730998,24.91875,0.0299,-0.0821,-5.43,-38.1,25.875,25.0875,26.04375,25.48125,-0.038374718,-0.006772009,-0.045146727,-0.022573363,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124536_730998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124536_730998.jpg,0.8
20260206_124536_980998,25.5375,0.2025,-0.058,-6.91,-20.6,26.15625,25.70625,26.04375,25.48125,-0.024229075,-0.00660793,-0.019823789,0.002202643,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124536_980998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124536_980998.jpg,0.8
20260206_124537_230998,25.875,0.0755,-0.0166,-4.57,-5.3,25.93125,25.70625,26.1,25.93125,-0.002173913,0.006521739,-0.008695652,-0.002173913,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124537_230998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124537_230998.jpg,0.8
20260206_124537_480998,25.7625,0.0798,-0.0384,-2.08,19.1,26.26875,26.15625,26.4375,26.15625,-0.019650655,-0.015283843,-0.026200873,-0.015283843,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124537_480998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124537_480998.jpg,0.8
20260206_124537_730998,26.15625,-0.0179,-0.0783,1.45,41.6,26.04375,26.325,26.1,26.55,0.004301075,-0.006451613,0.002150538,-0.015053763,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124537_730998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124537_730998.jpg,0.8
20260206_124537_980998,26.2125,0.0069,-0.0645,4.42,56.5,26.04375,26.83125,26.38125,26.94375,0.006437768,-0.02360515,-0.006437768,-0.027896996,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124537_980998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124537_980998.jpg,0.8
20260206_124538_230998,26.38125,-0.1812,-0.0354,7.84,54.9,26.26875,27.05625,26.2125,27,0.004264392,-0.025586354,0.006396588,-0.023454158,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124538_230998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124538_230998.jpg,0.8
20260206_124538_480998,26.60625,-0.0707,-0.0186,8.39,40.6,26.26875,27.05625,26.1,27,0.012684989,-0.016913319,0.019027484,-0.014799154,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124538_480998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124538_480998.jpg,0.8
20260206_124538_730998,26.49375,-0.0762,-0.0744,7.29,25.2,26.49375,27,26.6625,26.775,0,-0.01910828,-0.006369427,-0.010615711,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124538_730998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124538_730998.jpg,0.8
20260206_124538_980998,26.55,-0.0333,-0.0306,5.49,7.3,26.55,26.55,26.6625,26.6625,0,0,-0.004237288,-0.004237288,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124538_980998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124538_980998.jpg,0.8
20260206_124539_230998,26.6625,-0.0682,-0.0212,2.68,1.4,26.49375,26.49375,26.55,26.49375,0.006329114,0.006329114,0.004219409,0.006329114,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124539_230998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124539_230998.jpg,0.8
20260206_124539_480998,26.49375,0.0424,-0.0785,1.04,-2,26.71875,26.1,26.71875,26.55,-0.008492569,0.014861996,-0.008492569,-0.002123142,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124539_480998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124539_480998.jpg,0.8
20260206_124539_730998,26.55,-0.002,-0.0217,-1.35,-6.7,26.55,26.15625,26.6625,26.4375,0,0.014830508,-0.004237288,0.004237288,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124539_730998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124539_730998.jpg,0.8
20260206_124539_980998,26.325,-0.0043,-0.1269,-0.98,-5.7,26.38125,26.1,26.60625,25.93125,-0.002136752,0.008547009,-0.010683761,0.014957265,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124539_980998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124539_980998.jpg,0.8
20260206_124540_230998,26.38125,0.0039,-0.0506,-2.46,-4.8,26.2125,25.875,26.1,25.93125,0.006396588,0.019189765,0.010660981,0.017057569,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124540_230998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124540_230998.jpg,0.8
20260206_124540_480998,26.26875,-0.0213,-0.0605,-1.81,-4.3,25.7625,25.48125,25.93125,25.65,0.019271949,0.029978587,0.012847966,0.023554604,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124540_480998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124540_480998.jpg,0.8
20260206_124540_730998,26.1,0.0643,-0.0312,-1.94,-5.4,25.59375,25.59375,25.7625,25.59375,0.019396552,0.019396552,0.012931034,0.019396552,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124540_730998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124540_730998.jpg,0.8
20260206_124540_980998,25.65,-0.053,-0.0503,-1.52,-10.2,25.36875,25.2,25.425,25.3125,0.010964912,0.01754386,0.00877193,0.013157895,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124540_980998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124540_980998.jpg,0.8
20260206_124541_230998,25.59375,0.0639,-0.0398,-1.63,-22.5,24.8625,24.6375,25.5375,24.91875,0.028571429,0.037362637,0.002197802,0.026373626,train/episode_37__pi05_annotations_in_yuanqv_clean/images/ZED_LEFT/ZED_LEFT_20260206_124541_230998.jpg,train/episode_37__pi05_annotations_in_yuanqv_clean/images/road_img/ZED_LEFT_20260206_124541_230998.jpg,0.8
