id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,rac
20260322_152335_364933,39.15,-0.0258,-0.0013,-0.04,9.2,39.2625,39.15,39.2625,39.2625,-0.002873563,0,-0.002873563,-0.002873563,train/episode_5__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152335_364933.jpg,train/episode_5__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152335_364933.jpg,0.35
20260322_152335_614933,38.98125,-0.0406,0.0125,0.36,9.7,38.98125,39.09375,39.43125,39.43125,0,-0.002886003,-0.011544012,-0.011544012,train/episode_5__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152335_614933.jpg,train/episode_5__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152335_614933.jpg,0.35
20260322_152335_864933,39.0375,-0.018,-0.0425,0.48,11.8,38.98125,39.15,39.15,39.09375,0.001440922,-0.002881844,-0.002881844,-0.001440922,train/episode_5__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152335_864933.jpg,train/episode_5__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152335_864933.jpg,0.35
20260322_152336_114933,38.98125,0.0478,-0.0149,0.36,12.1,38.8125,39.09375,38.925,39.20625,0.004329004,-0.002886003,0.001443001,-0.005772006,train/episode_5__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152336_114933.jpg,train/episode_5__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152336_114933.jpg,0.35
20260322_152336_364933,38.86875,0.0045,-0.0168,1.1,14.4,38.8125,38.98125,38.8125,38.98125,0.001447178,-0.002894356,0.001447178,-0.002894356,train/episode_5__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152336_364933.jpg,train/episode_5__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152336_364933.jpg,0.35
20260322_152336_614933,38.8125,-0.0086,-0.0073,1.19,15.1,38.8125,38.925,38.8125,38.8125,0,-0.002898551,0,0,train/episode_5__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152336_614933.jpg,train/episode_5__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152336_614933.jpg,0.35
20260322_152336_864933,38.5875,0.0127,-0.0278,1.42,15.8,38.475,38.64375,38.75625,38.86875,0.002915452,-0.001457726,-0.004373178,-0.00728863,train/episode_5__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152336_864933.jpg,train/episode_5__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152336_864933.jpg,0.35
20260322_152337_114933,38.7,0.0144,0.0076,1.51,15.2,38.64375,38.86875,38.75625,39.09375,0.001453488,-0.004360465,-0.001453488,-0.010174419,train/episode_5__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152337_114933.jpg,train/episode_5__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152337_114933.jpg,0.35
20260322_152337_364933,38.64375,-0.0308,0.0319,1.35,14.7,38.41875,38.7,38.7,38.86875,0.005822416,-0.001455604,-0.001455604,-0.005822416,train/episode_5__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152337_364933.jpg,train/episode_5__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152337_364933.jpg,0.35
20260322_152337_614933,38.64375,-0.0107,-0.0152,0.6,14.4,38.5875,38.86875,38.7,38.925,0.001455604,-0.005822416,-0.001455604,-0.00727802,train/episode_5__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152337_614933.jpg,train/episode_5__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152337_614933.jpg,0.35
20260322_152337_864933,38.7,-0.0096,-0.0261,0.92,13.3,38.64375,38.86875,38.86875,38.8125,0.001453488,-0.004360465,-0.004360465,-0.002906977,train/episode_5__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152337_864933.jpg,train/episode_5__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152337_864933.jpg,0.35
20260322_152338_114933,38.5875,-0.0562,-0.0318,0.21,10.5,38.64375,38.7,38.64375,38.7,-0.001457726,-0.002915452,-0.001457726,-0.002915452,train/episode_5__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152338_114933.jpg,train/episode_5__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152338_114933.jpg,0.35
20260322_152338_364933,38.475,-0.0236,-0.0043,-0.24,7.7,38.475,38.5875,38.53125,38.53125,0,-0.002923977,-0.001461988,-0.001461988,train/episode_5__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152338_364933.jpg,train/episode_5__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152338_364933.jpg,0.35
